IoTDevices,edge_host,time
0,53,10.176
1,12,10.176
0,9,10.176
0,34,10.176
0,78,10.176
0,44,10.176
0,52,10.176
0,53,10.388
2,12,10.388
0,9,10.388
0,34,10.388
0,78,10.388
0,44,10.388
0,52,10.388
0,53,10.6
2,12,10.6
0,9,10.6
0,34,10.6
0,78,10.6
0,44,10.6
0,52,10.6
0,53,10.812
2,12,10.812
0,9,10.812
0,34,10.812
0,78,10.812
0,44,10.812
0,52,10.812
0,53,11.024
2,12,11.024
0,9,11.024
0,34,11.024
0,78,11.024
0,44,11.024
0,52,11.024
0,53,11.236
2,12,11.236
0,9,11.236
0,34,11.236
0,78,11.236
0,44,11.236
0,52,11.236
0,53,11.448
2,12,11.448
0,9,11.448
0,34,11.448
0,78,11.448
0,44,11.448
0,52,11.448
0,53,11.66
2,12,11.66
0,9,11.66
0,34,11.66
0,78,11.66
0,44,11.66
0,52,11.66
0,53,11.872
2,12,11.872
0,9,11.872
0,34,11.872
0,78,11.872
0,44,11.872
0,52,11.872
0,53,12.084
2,12,12.084
0,9,12.084
0,34,12.084
0,78,12.084
0,44,12.084
0,52,12.084
0,53,12.296
2,12,12.296
0,9,12.296
0,34,12.296
0,78,12.296
0,44,12.296
0,52,12.296
0,53,12.508
2,12,12.508
0,9,12.508
0,34,12.508
0,78,12.508
0,44,12.508
0,52,12.508
0,53,12.72
2,12,12.72
0,9,12.72
0,34,12.72
0,78,12.72
0,44,12.72
0,52,12.72
0,53,12.932
2,12,12.932
0,9,12.932
0,34,12.932
0,78,12.932
0,44,12.932
0,52,12.932
0,53,13.144
2,12,13.144
0,9,13.144
0,34,13.144
0,78,13.144
0,44,13.144
0,52,13.144
0,53,13.356
2,12,13.356
0,9,13.356
0,34,13.356
0,78,13.356
0,44,13.356
0,52,13.356
0,53,13.568
3,12,13.568
0,9,13.568
0,34,13.568
0,78,13.568
0,44,13.568
0,52,13.568
0,53,13.78
3,12,13.78
0,9,13.78
0,34,13.78
0,78,13.78
0,44,13.78
0,52,13.78
0,53,13.992
3,12,13.992
0,9,13.992
0,34,13.992
0,78,13.992
0,44,13.992
0,52,13.992
0,53,14.204
3,12,14.204
0,9,14.204
0,34,14.204
0,78,14.204
0,44,14.204
0,52,14.204
0,53,14.416
3,12,14.416
0,9,14.416
0,34,14.416
0,78,14.416
0,44,14.416
0,52,14.416
0,53,14.628
3,12,14.628
