x,y,simtime,communication_radius,"max_vehicle_communication",id
583.69,854.5,0.0,100.0,15.0,9
323.63,227.57,0.0,100.0,15.0,12
977.75,829.69,0.0,100.0,15.0,52
1425.56,1082.94,0.0,100.0,15.0,78
768.63,816.34,0.0,100.0,15.0,53
1470.88,1073.94,0.0,100.0,15.0,44
778.0,613.44,0.0,100.0,15.0,82
1573.69,569.0,0.0,100.0,15.0,27
1504.51,825.41,0.0,100.0,15.0,1c
798.63,778.69,0.0,100.0,15.0,15
1489.07,825.69,0.0,100.0,15.0,3
1579.38,473.19,0.0,100.0,15.0,34
874.28,625.54,0.0,100.0,15.0,63
1485.04,841.29,0.0,100.0,15.0,1b
1498.87,847.16,0.0,100.0,15.0,1
1457.38,1043.5,0.0,100.0,15.0,204c
583.69,854.5,0.212,100.0,15.0,9
323.63,227.57,0.212,100.0,15.0,12
977.75,829.69,0.212,100.0,15.0,52
1425.56,1082.94,0.212,100.0,15.0,78
768.63,816.34,0.212,100.0,15.0,53
1470.88,1073.94,0.212,100.0,15.0,44
778.0,613.44,0.212,100.0,15.0,82
1573.69,569.0,0.212,100.0,15.0,27
1504.51,825.41,0.212,100.0,15.0,1c
798.63,778.69,0.212,100.0,15.0,15
1489.07,825.69,0.212,100.0,15.0,3
1579.38,473.19,0.212,100.0,15.0,34
874.28,625.54,0.212,100.0,15.0,63
1485.04,841.29,0.212,100.0,15.0,1b
1498.87,847.16,0.212,100.0,15.0,1
1457.38,1043.5,0.212,100.0,15.0,204c
583.69,854.5,0.424,100.0,15.0,9
323.63,227.57,0.424,100.0,15.0,12
977.75,829.69,0.424,100.0,15.0,52
1425.56,1082.94,0.424,100.0,15.0,78
768.63,816.34,0.424,100.0,15.0,53
1470.88,1073.94,0.424,100.0,15.0,44
778.0,613.44,0.424,100.0,15.0,82
1573.69,569.0,0.424,100.0,15.0,27
1504.51,825.41,0.424,100.0,15.0,1c
798.63,778.69,0.424,100.0,15.0,15
1489.07,825.69,0.424,100.0,15.0,3
1579.38,473.19,0.424,100.0,15.0,34
874.28,625.54,0.424,100.0,15.0,63
1485.04,841.29,0.424,100.0,15.0,1b
1498.87,847.16,0.424,100.0,15.0,1
1457.38,1043.5,0.424,100.0,15.0,204c
583.69,854.5,0.636,100.0,15.0,9
323.63,227.57,0.636,100.0,15.0,12
977.75,829.69,0.636,100.0,15.0,52
1425.56,1082.94,0.636,100.0,15.0,78
768.63,816.34,0.636,100.0,15.0,53
1470.88,1073.94,0.636,100.0,15.0,44
778.0,613.44,0.636,100.0,15.0,82
1573.69,569.0,0.636,100.0,15.0,27
1504.51,825.41,0.636,100.0,15.0,1c
798.63,778.69,0.636,100.0,15.0,15
1489.07,825.69,0.636,100.0,15.0,3
1579.38,473.19,0.636,100.0,15.0,34
874.28,625.54,0.636,100.0,15.0,63
1485.04,841.29,0.636,100.0,15.0,1b
1498.87,847.16,0.636,100.0,15.0,1
