dcName,energy,name
Cloud_1,5.09736799,host1
Cloud_1,5.09736799,host2
Cloud_1,5.09736799,host3
Cloud_1,5.09736799,host4
Cloud_1,5.09736799,host5
Cloud_1,5.09736799,host6
Edge_9,4.8370912425,9
Edge_12,4.8370912425,12
Edge_52,4.8370912425,52
Edge_204c,4.8370912425,204c
Edge_204c,4.8370912425,44
Edge_204c,4.8370912425,78
Edge_15,4.8370912425,15
Edge_15,4.8370912425,53
Edge_63,4.8370912425,63
Edge_63,4.8370912425,82
Edge_34,4.8370912425,34
Edge_34,4.8370912425,27
Edge_3,4.8370912425,3
Edge_3,4.8370912425,1
Edge_3,4.8370912425,1b
Edge_3,4.8370912425,1c
