actualIoTDeviceName,consumption,flowId,noPackets,time
id_5,1.0100000000000051,10,1.0,34.556
id_5,2.0300000000000153,18,2.0,34.768
id_5,3.0400000000000205,26,3.0,34.98
id_5,4.070000000000036,34,4.0,35.192
id_5,5.090000000000046,42,5.0,35.404
id_5,6.100000000000051,49,6.0,35.616
id_5,7.1300000000000665,56,7.0,35.828
id_5,8.140000000000072,63,8.0,36.04
id_5,9.170000000000087,70,9.0,36.252
id_5,10.180000000000092,77,10.0,36.464
id_5,11.210000000000107,83,11.0,36.676
id_5,12.220000000000113,89,12.0,36.888
id_5,13.250000000000128,96,13.0,37.1
id_5,14.260000000000133,103,14.0,37.312
id_5,15.290000000000148,110,15.0,37.524
id_5,16.300000000000153,117,16.0,37.736
id_5,17.33000000000017,124,17.0,37.948
id_5,18.340000000000174,131,18.0,38.16
id_5,19.37000000000019,138,19.0,38.372
id_5,20.3900000000002,145,20.0,38.584
id_5,21.400000000000205,152,21.0,38.796
id_5,22.43000000000022,160,22.0,39.008
id_5,23.440000000000225,168,23.0,39.22
id_5,24.47000000000024,176,24.0,39.432
id_5,25.480000000000246,184,25.0,39.644
id_5,26.51000000000026,192,26.0,39.856
id_4,1.0100000000000051,11,1.0,34.556
id_4,2.0300000000000153,19,2.0,34.768
id_4,3.0400000000000205,27,3.0,34.98
id_4,4.070000000000036,35,4.0,35.192
id_4,5.090000000000046,43,5.0,35.404
id_4,6.100000000000051,50,6.0,35.616
id_4,7.1300000000000665,57,7.0,35.828
id_4,8.140000000000072,64,8.0,36.04
id_4,9.170000000000087,71,9.0,36.252
id_4,10.180000000000092,78,10.0,36.464
id_4,11.210000000000107,84,11.0,36.676
id_4,12.220000000000113,90,12.0,36.888
id_4,13.250000000000128,97,13.0,37.1
id_4,14.260000000000133,104,14.0,37.312
id_4,15.290000000000148,111,15.0,37.524
id_4,16.300000000000153,118,16.0,37.736
id_4,17.33000000000017,125,17.0,37.948
id_4,18.340000000000174,132,18.0,38.16
id_4,19.37000000000019,139,19.0,38.372
id_4,20.3900000000002,146,20.0,38.584
id_4,21.400000000000205,153,21.0,38.796
id_4,22.43000000000022,161,22.0,39.008
id_4,23.440000000000225,169,23.0,39.22
id_4,24.47000000000024,177,24.0,39.432
id_4,25.480000000000246,185,25.0,39.644
id_4,26.51000000000026,193,26.0,39.856
id_7,1.0100000000000051,12,1.0,34.556
id_7,2.0300000000000153,20,2.0,34.768
id_7,3.0400000000000205,28,3.0,34.98
id_7,4.070000000000036,36,4.0,35.192
id_7,5.090000000000046,154,5.0,38.796
id_7,6.110000000000056,162,6.0,39.008
id_7,7.120000000000061,170,7.0,39.22
id_7,8.150000000000077,178,8.0,39.432
id_7,9.160000000000082,186,9.0,39.644
id_7,10.190000000000097,194,10.0,39.856
id_6,1.0100000000000051,13,1.0,34.556
id_6,2.0300000000000153,21,2.0,34.768
id_6,3.0400000000000205,29,3.0,34.98
id_6,4.070000000000036,37,4.0,35.192
id_6,5.090000000000046,44,5.0,35.404
id_6,6.100000000000051,51,6.0,35.616
id_6,7.1300000000000665,58,7.0,35.828
id_6,8.140000000000072,65,8.0,36.04
id_6,9.170000000000087,72,9.0,36.252
id_6,10.190000000000097,91,10.0,36.888
id_6,11.210000000000107,98,11.0,37.1
id_6,12.220000000000113,105,12.0,37.312
id_6,13.250000000000128,112,13.0,37.524
id_6,14.260000000000133,119,14.0,37.736
id_6,15.290000000000148,126,15.0,37.948
id_6,16.300000000000153,133,16.0,38.16
id_6,17.33000000000017,140,17.0,38.372
id_6,18.35000000000018,147,18.0,38.584
id_6,19.360000000000184,155,19.0,38.796
id_6,20.3900000000002,163,20.0,39.008
id_6,21.400000000000205,171,21.0,39.22
id_6,22.43000000000022,179,22.0,39.432
id_6,23.440000000000225,187,23.0,39.644
id_6,24.47000000000024,195,24.0,39.856
id_1,1.0100000000000051,2,1.0,10.388
id_1,2.0300000000000153,4,2.0,10.6
id_1,3.0500000000000256,6,3.0,10.812
id_1,4.070000000000036,8,4.0,11.024
id_1,5.090000000000046,14,5.0,34.556
id_1,6.110000000000056,22,6.0,34.768
