appID,appName,appStartTime,cloudDatacenterName,cloudDcId,dataRate,edgeDatacenterName,edgeDcId,endTime,"ioTDeviceBatteryConsumption",ioTDeviceBatteryStatus,ioTDeviceId,ioTDeviceName,ioTDeviceOutputSize,isIoTDeviceDied,melId,melname,meloutputSize,osmesisCloudletSize,osmesisEdgeletSize,startDataGenerationTime,stopDataGenerationTime,vmCloudId,vmName,workflowId
1,App_1,10.176,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,114,id_0,1,false,-1,@12,70,200,250,10.176,11.176,0,VM_2,1
2,App_2,10.388,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,113,id_1,1,false,-1,@12,70,200,250,10.388,11.388,0,VM_3,1
3,App_3,10.388,Cloud_1,4,1.0,,0,0.0,2.0300000000000153,No,114,id_0,1,false,-1,@12,70,200,250,10.388,11.388,0,VM_4,1
4,App_4,10.6,Cloud_1,4,1.0,,0,0.0,2.0300000000000153,No,113,id_1,1,false,-1,@12,70,200,250,10.6,11.6,0,VM_5,1
5,App_5,10.6,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,114,id_0,1,false,-1,@12,70,200,250,10.6,11.6,0,VM_6,1
6,App_6,10.812,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,113,id_1,1,false,-1,@12,70,200,250,10.812,11.812,0,VM_7,1
7,App_7,10.812,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,114,id_0,1,false,-1,@12,70,200,250,10.812,11.812,0,VM_8,1
8,App_8,11.024,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,113,id_1,1,false,-1,@12,70,200,250,11.024,12.024,0,VM_9,1
9,App_9,11.024,Cloud_1,4,1.0,,0,0.0,5.090000000000046,No,114,id_0,1,false,-1,@12,70,200,250,11.024,12.024,0,VM_10,1
10,App_10,34.556,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,109,id_5,1,false,-1,@9,70,200,250,34.556,35.556,0,VM_1,1
11,App_11,34.556,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,110,id_4,1,false,-1,@9,70,200,250,34.556,35.556,0,VM_2,1
12,App_12,34.556,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,111,id_7,1,false,-1,@9,70,200,250,34.556,35.556,0,VM_3,1
13,App_13,34.556,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,112,id_6,1,false,-1,@9,70,200,250,34.556,35.556,0,VM_4,1
14,App_14,34.556,Cloud_1,4,1.0,,0,0.0,5.090000000000046,No,113,id_1,1,false,-1,@44,70,200,250,34.556,35.556,0,VM_5,1
15,App_15,34.556,Cloud_1,4,1.0,,0,0.0,6.110000000000056,No,114,id_0,1,false,-1,@34,70,200,250,34.556,35.556,0,VM_6,1
16,App_16,34.556,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,115,id_3,1,false,-1,@34,70,200,250,34.556,35.556,0,VM_7,1
17,App_17,34.556,Cloud_1,4,1.0,,0,0.0,1.0100000000000051,No,116,id_2,1,false,-1,@44,70,200,250,34.556,35.556,0,VM_8,1
18,App_18,34.768,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,109,id_5,1,false,-1,@9,70,200,250,34.768,35.768,0,VM_9,1
19,App_19,34.768,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,110,id_4,1,false,-1,@9,70,200,250,34.768,35.768,0,VM_10,1
20,App_20,34.768,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,111,id_7,1,false,-1,@9,70,200,250,34.768,35.768,0,VM_1,1
21,App_21,34.768,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,112,id_6,1,false,-1,@9,70,200,250,34.768,35.768,0,VM_2,1
22,App_22,34.768,Cloud_1,4,1.0,,0,0.0,7.1300000000000665,No,113,id_1,1,false,-1,@44,70,200,250,34.768,35.768,0,VM_3,1
23,App_23,34.768,Cloud_1,4,1.0,,0,0.0,8.150000000000077,No,114,id_0,1,false,-1,@34,70,200,250,34.768,35.768,0,VM_4,1
24,App_24,34.768,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,115,id_3,1,false,-1,@34,70,200,250,34.768,35.768,0,VM_5,1
25,App_25,34.768,Cloud_1,4,1.0,,0,0.0,3.0500000000000256,No,116,id_2,1,false,-1,@44,70,200,250,34.768,35.768,0,VM_6,1
26,App_26,34.98,Cloud_1,4,1.0,,0,0.0,3.0400000000000205,No,109,id_5,1,false,-1,@9,70,200,250,34.98,35.98,0,VM_7,1
27,App_27,34.98,Cloud_1,4,1.0,,0,0.0,3.0400000000000205,No,110,id_4,1,false,-1,@9,70,200,250,34.98,35.98,0,VM_8,1
28,App_28,34.98,Cloud_1,4,1.0,,0,0.0,3.0400000000000205,No,111,id_7,1,false,-1,@9,70,200,250,34.98,35.98,0,VM_9,1
29,App_29,34.98,Cloud_1,4,1.0,,0,0.0,3.0400000000000205,No,112,id_6,1,false,-1,@9,70,200,250,34.98,35.98,0,VM_10,1
30,App_30,34.98,Cloud_1,4,1.0,,0,0.0,7.120000000000061,No,113,id_1,1,false,-1,@44,70,200,250,34.98,35.98,0,VM_1,1
31,App_31,34.98,Cloud_1,4,1.0,,0,0.0,8.140000000000072,No,114,id_0,1,false,-1,@34,70,200,250,34.98,35.98,0,VM_2,1
32,App_32,34.98,Cloud_1,4,1.0,,0,0.0,3.0400000000000205,No,115,id_3,1,false,-1,@34,70,200,250,34.98,35.98,0,VM_3,1
33,App_33,34.98,Cloud_1,4,1.0,,0,0.0,3.0400000000000205,No,116,id_2,1,false,-1,@44,70,200,250,34.98,35.98,0,VM_4,1
34,App_34,35.192,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,109,id_5,1,false,-1,@9,70,200,250,35.192,36.192,0,VM_5,1
35,App_35,35.192,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,110,id_4,1,false,-1,@9,70,200,250,35.192,36.192,0,VM_6,1
36,App_36,35.192,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,111,id_7,1,false,-1,@9,70,200,250,35.192,36.192,0,VM_7,1
37,App_37,35.192,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,112,id_6,1,false,-1,@9,70,200,250,35.192,36.192,0,VM_8,1
38,App_38,35.192,Cloud_1,4,1.0,,0,0.0,8.150000000000077,No,113,id_1,1,false,-1,@44,70,200,250,35.192,36.192,0,VM_9,1
39,App_39,35.192,Cloud_1,4,1.0,,0,0.0,9.170000000000087,No,114,id_0,1,false,-1,@34,70,200,250,35.192,36.192,0,VM_10,1
40,App_40,35.192,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,115,id_3,1,false,-1,@34,70,200,250,35.192,36.192,0,VM_1,1
41,App_41,35.192,Cloud_1,4,1.0,,0,0.0,4.070000000000036,No,116,id_2,1,false,-1,@44,70,200,250,35.192,36.192,0,VM_2,1
42,App_42,35.404,Cloud_1,4,1.0,,0,0.0,6.110000000000056,No,109,id_5,1,false,-1,@9,70,200,250,35.404,36.404,0,VM_3,1
43,App_43,35.404,Cloud_1,4,1.0,,0,0.0,6.110000000000056,No,110,id_4,1,false,-1,@9,70,200,250,35.404,36.404,0,VM_4,1
44,App_44,35.404,Cloud_1,4,1.0,,0,0.0,6.110000000000056,No,112,id_6,1,false,-1,@9,70,200,250,35.404,36.404,0,VM_5,1
45,App_45,35.404,Cloud_1,4,1.0,,0,0.0,10.190000000000097,No,113,id_1,1,false,-1,@44,70,200,250,35.404,36.404,0,VM_6,1
46,App_46,35.404,Cloud_1,4,1.0,,0,0.0,11.210000000000107,No,114,id_0,1,false,-1,@34,70,200,250,35.404,36.404,0,VM_7,1
47,App_47,35.404,Cloud_1,4,1.0,,0,0.0,6.110000000000056,No,115,id_3,1,false,-1,@34,70,200,250,35.404,36.404,0,VM_8,1
48,App_48,35.404,Cloud_1,4,1.0,,0,0.0,6.110000000000056,No,116,id_2,1,false,-1,@44,70,200,250,35.404,36.404,0,VM_9,1
49,App_49,35.616,Cloud_1,4,1.0,,0,0.0,6.100000000000051,No,109,id_5,1,false,-1,@9,70,200,250,35.616,36.616,0,VM_10,1
50,App_50,35.616,Cloud_1,4,1.0,,0,0.0,6.100000000000051,No,110,id_4,1,false,-1,@9,70,200,250,35.616,36.616,0,VM_1,1
51,App_51,35.616,Cloud_1,4,1.0,,0,0.0,6.100000000000051,No,112,id_6,1,false,-1,@9,70,200,250,35.616,36.616,0,VM_2,1
52,App_52,35.616,Cloud_1,4,1.0,,0,0.0,10.180000000000092,No,113,id_1,1,false,-1,@44,70,200,250,35.616,36.616,0,VM_3,1
53,App_53,35.616,Cloud_1,4,1.0,,0,0.0,11.200000000000102,No,114,id_0,1,false,-1,@34,70,200,250,35.616,36.616,0,VM_4,1
54,App_54,35.616,Cloud_1,4,1.0,,0,0.0,6.100000000000051,No,115,id_3,1,false,-1,@34,70,200,250,35.616,36.616,0,VM_5,1
55,App_55,35.616,Cloud_1,4,1.0,,0,0.0,6.100000000000051,No,116,id_2,1,false,-1,@44,70,200,250,35.616,36.616,0,VM_6,1
56,App_56,35.828,Cloud_1,4,1.0,,0,0.0,8.150000000000077,No,109,id_5,1,false,-1,@9,70,200,250,35.828,36.828,0,VM_7,1
