IoTDevices,edge_host,ioTDevices,time
0,44,0,10.176
1,12,1,10.176
0,34,0,10.176
0,9,0,10.176
0,44,0,10.388
2,12,2,10.388
0,34,0,10.388
0,9,0,10.388
0,44,0,10.6
2,12,2,10.6
0,34,0,10.6
0,9,0,10.6
0,44,0,10.812
2,12,2,10.812
0,34,0,10.812
0,9,0,10.812
0,44,0,11.024
2,12,2,11.024
0,34,0,11.024
0,9,0,11.024
2,44,2,34.556
0,12,0,34.556
2,34,2,34.556
4,9,4,34.556
2,44,2,34.768
0,12,0,34.768
2,34,2,34.768
4,9,4,34.768
2,44,2,34.98
0,12,0,34.98
2,34,2,34.98
4,9,4,34.98
2,44,2,35.192
0,12,0,35.192
2,34,2,35.192
4,9,4,35.192
2,44,2,35.404
0,12,0,35.404
2,34,2,35.404
3,9,3,35.404
2,44,2,35.616
0,12,0,35.616
2,34,2,35.616
3,9,3,35.616
2,44,2,35.828
0,12,0,35.828
2,34,2,35.828
3,9,3,35.828
2,44,2,36.04
0,12,0,36.04
2,34,2,36.04
3,9,3,36.04
2,44,2,36.252
0,12,0,36.252
2,34,2,36.252
3,9,3,36.252
2,44,2,36.464
0,12,0,36.464
2,34,2,36.464
2,9,2,36.464
2,44,2,36.676
0,12,0,36.676
2,34,2,36.676
2,9,2,36.676
2,44,2,36.888
0,12,0,36.888
3,34,3,36.888
2,9,2,36.888
2,44,2,37.1
0,12,0,37.1
3,34,3,37.1
2,9,2,37.1
2,44,2,37.312
0,12,0,37.312
3,34,3,37.312
2,9,2,37.312
3,44,3,37.524
0,12,0,37.524
0,34,0,37.524
4,9,4,37.524
3,44,3,37.736
0,12,0,37.736
0,34,0,37.736
4,9,4,37.736
3,44,3,37.948
0,12,0,37.948
0,34,0,37.948
4,9,4,37.948
2,44,2,38.16
0,12,0,38.16
2,34,2,38.16
3,9,3,38.16
3,44,3,38.372
0,12,0,38.372
0,34,0,38.372
4,9,4,38.372
3,44,3,38.584
0,12,0,38.584
0,34,0,38.584
4,9,4,38.584
3,44,3,38.796
0,12,0,38.796
0,34,0,38.796
5,9,5,38.796
3,44,3,39.008
1,12,1,39.008
0,34,0,39.008
4,9,4,39.008
3,44,3,39.22
1,12,1,39.22
0,34,0,39.22
4,9,4,39.22
3,44,3,39.432
1,12,1,39.432
0,34,0,39.432
4,9,4,39.432
3,44,3,39.644
1,12,1,39.644
0,34,0,39.644
4,9,4,39.644
3,44,3,39.856
1,12,1,39.856
1,34,1,39.856
3,9,3,39.856
